/usr/sbin/mysqld, Version: 5.1.41-3ubuntu12.6-log ((Ubuntu)). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
230914 15:01:35	    1 Connect	debian-sys-maint@localhost on 
		    1 Quit	
		    2 Connect	debian-sys-maint@localhost on mysql
		    2 Query	select @@version_comment limit 1
		    2 Query	show variables like 'datadir'
		    2 Quit	
		    3 Connect	debian-sys-maint@localhost on 
		    3 Query	select @@version_comment limit 1
		    3 Query	SELECT count(*) FROM mysql.user WHERE user='root' and password=''
		    3 Quit	
		    4 Connect	debian-sys-maint@localhost on 
		    4 Query	select @@version_comment limit 1
		    4 Query	select concat('select count(*) into @discard from `',
                    TABLE_SCHEMA, '`.`', TABLE_NAME, '`') 
      from information_schema.TABLES where ENGINE='MyISAM'
		    4 Quit	
		    5 Connect	debian-sys-maint@localhost on 
		    5 Query	select @@version_comment limit 1
		    5 Query	select count(*) into @discard from `information_schema`.`COLUMNS`
		    5 Quit	
		    6 Connect	debian-sys-maint@localhost on 
		    6 Query	select @@version_comment limit 1
		    6 Query	select count(*) into @discard from `information_schema`.`EVENTS`
		    6 Quit	
		    7 Connect	debian-sys-maint@localhost on 
		    7 Query	select @@version_comment limit 1
		    7 Query	select count(*) into @discard from `information_schema`.`PARTITIONS`
		    7 Quit	
		    8 Connect	debian-sys-maint@localhost on 
		    8 Query	select @@version_comment limit 1
		    8 Query	select count(*) into @discard from `information_schema`.`PLUGINS`
		    8 Quit	
		    9 Connect	debian-sys-maint@localhost on 
		    9 Query	select @@version_comment limit 1
		    9 Query	select count(*) into @discard from `information_schema`.`PROCESSLIST`
		    9 Quit	
		   10 Connect	debian-sys-maint@localhost on 
		   10 Query	select @@version_comment limit 1
		   10 Query	select count(*) into @discard from `information_schema`.`ROUTINES`
		   10 Quit	
		   11 Connect	debian-sys-maint@localhost on 
		   11 Query	select @@version_comment limit 1
		   11 Query	select count(*) into @discard from `information_schema`.`TRIGGERS`
		   11 Quit	
